text,label
"Schedule Earth Observation satellites with Deep Reinforcement Learning. Optical Earth observation satellites acquire images worldwide , covering up
to several million square kilometers every day. The complexity of scheduling
acquisitions for such systems increases exponentially when considering the
interoperabil-ity of several satellite constellations together with the
uncertainties from weather forecasts. In order to deliver valid images to
customers as fast as possible, it is crucial to acquire cloud-free images.
Depending on weather forecasts, up to 50% of images acquired by operational
satellites can be trashed due to excessive cloud covers, showing there is room
for improvement. We propose an acquisition scheduling approach based on Deep
Reinforcement Learning and experiment on a simplified environment. We find that
it challenges classical methods relying on human-expert heuristic.","cs.AI,cs.LG"
"Learning Implicit Credit Assignment for Cooperative Multi-Agent Reinforcement Learning. We present a multi-agent actor-critic method that aims to implicitly address
the credit assignment problem under fully cooperative settings. Our key
motivation is that credit assignment among agents may not require an explicit
formulation as long as (1) the policy gradients derived from a centralized
critic carry sufficient information for the decentralized agents to maximize
their joint action value through optimal cooperation and (2) a sustained level
of exploration is enforced throughout training. Under the centralized training
with decentralized execution (CTDE) paradigm, we achieve the former by
formulating the centralized critic as a hypernetwork such that a latent state
representation is integrated into the policy gradients through its
multiplicative association with the stochastic policies; to achieve the latter,
we derive a simple technique called adaptive entropy regularization where
magnitudes of the entropy gradients are dynamically rescaled based on the
current policy stochasticity to encourage consistent levels of exploration. Our
algorithm, referred to as LICA, is evaluated on several benchmarks including
the multi-agent particle environments and a set of challenging StarCraft II
micromanagement tasks, and we show that LICA significantly outperforms previous
methods.","cs.LG,cs.MA,stat.ML"
"Spatio-spectral networks for color-texture analysis. Texture is one of the most-studied visual attribute for image
characterization since the 1960s. However, most hand-crafted descriptors are
monochromatic, focusing on the gray scale images and discarding the color
information. In this context, this work focus on a new method for color texture
analysis considering all color channels in a more intrinsic approach. Our
proposal consists of modeling color images as directed complex networks that we
named Spatio-Spectral Network (SSN). Its topology includes within-channel edges
that cover spatial patterns throughout individual image color channels, while
between-channel edges tackle spectral properties of channel pairs in an
opponent fashion. Image descriptors are obtained through a concise topological
characterization of the modeled network in a multiscale approach with radially
symmetric neighborhoods. Experiments with four datasets cover several aspects
of color-texture analysis, and results demonstrate that SSN overcomes all the
compared literature methods, including known deep convolutional networks, and
also has the most stable performance between datasets, achieving $98.5(\pm1.1)$
of average accuracy against $97.1(\pm1.3)$ of MCND and $96.8(\pm3.2)$ of
AlexNet. Additionally, an experiment verifies the performance of the methods
under different color spaces, where results show that SSN also has higher
performance and robustness.","cs.CV,cs.LG,physics.data-an"
"Symmetry Detection of Occluded Point Cloud Using Deep Learning. Symmetry detection has been a classical problem in computer graphics, many of
which using traditional geometric methods. In recent years, however, we have
witnessed the arising deep learning changed the landscape of computer graphics.
In this paper, we aim to solve the symmetry detection of the occluded point
cloud in a deep-learning fashion. To the best of our knowledge, we are the
first to utilize deep learning to tackle such a problem. In such a deep
learning framework, double supervisions: points on the symmetry plane and
normal vectors are employed to help us pinpoint the symmetry plane. We
conducted experiments on the YCB- video dataset and demonstrate the efficacy of
our method.","cs.CV,cs.GR"
"Missing Slice Recovery for Tensors Using a Low-rank Model in Embedded Space. Let us consider a case where all of the elements in some continuous slices
are missing in tensor data.
  In this case, the nuclear-norm and total variation regularization methods
usually fail to recover the missing elements.
  The key problem is capturing some delay/shift-invariant structure.
  In this study, we consider a low-rank model in an embedded space of a tensor.
  For this purpose, we extend a delay embedding for a time series to a
""multi-way delay-embedding transform"" for a tensor, which takes a given
incomplete tensor as the input and outputs a higher-order incomplete Hankel
tensor.
  The higher-order tensor is then recovered by Tucker-based low-rank tensor
factorization.
  Finally, an estimated tensor can be obtained by using the inverse multi-way
delay embedding transform of the recovered higher-order tensor.
  Our experiments showed that the proposed method successfully recovered
missing slices for some color images and functional magnetic resonance images.","cs.CV,cs.DS"
"Identifying individual facial expressions by deconstructing a neural network. This paper focuses on the problem of explaining predictions of psychological
attributes such as attractiveness, happiness, confidence and intelligence from
face photographs using deep neural networks. Since psychological attribute
datasets typically suffer from small sample sizes, we apply transfer learning
with two base models to avoid overfitting. These models were trained on an age
and gender prediction task, respectively. Using a novel explanation method we
extract heatmaps that highlight the parts of the image most responsible for the
prediction. We further observe that the explanation method provides important
insights into the nature of features of the base model, which allow one to
assess the aptitude of the base model for a given transfer learning task.
Finally, we observe that the multiclass model is more feature rich than its
binary counterpart. The experimental evaluation is performed on the 2222 images
from the 10k US faces dataset containing psychological attribute labels as well
as on a subset of KDEF images.","cs.CV,cs.NE,stat.ML"
"Learning deep features for source color laser printer identification based on cascaded learning. Color laser printers have fast printing speed and high resolution, and
forgeries using color laser printers can cause significant harm to society. A
source printer identification technique can be employed as a countermeasure to
those forgeries. This paper presents a color laser printer identification
method based on cascaded learning of deep neural networks. The refiner network
is trained by adversarial training to refine the synthetic dataset for halftone
color decomposition. The halftone color decomposing ConvNet is trained with the
refined dataset, and the trained knowledge is transferred to the printer
identifying ConvNet to enhance the accuracy. The robustness about rotation and
scaling is considered in training process, which is not considered in existing
methods. Experiments are performed on eight color laser printers, and the
performance is compared with several existing methods. The experimental results
clearly show that the proposed method outperforms existing source color laser
printer identification methods.","cs.CR,cs.CV"
"Distributed Value Function Approximation for Collaborative Multi-Agent Reinforcement Learning. In this paper we propose several novel distributed gradient-based temporal
difference algorithms for multi-agent off-policy learning of linear
approximation of the value function in Markov decision processes with strict
information structure constraints, limiting inter-agent communications to small
neighborhoods. The algorithms are composed of: 1) local parameter updates based
on single-agent off-policy gradient temporal difference learning algorithms,
including eligibility traces with state dependent parameters, and 2) linear
stochastic time varying consensus schemes, represented by directed graphs. The
proposed algorithms differ by their form, definition of eligibility traces,
selection of time scales and the way of incorporating consensus iterations. The
main contribution of the paper is a convergence analysis based on the general
properties of the underlying Feller-Markov processes and the stochastic time
varying consensus model. We prove, under general assumptions, that the
parameter estimates generated by all the proposed algorithms weakly converge to
the corresponding ordinary differential equations (ODE) with precisely defined
invariant sets. It is demonstrated how the adopted methodology can be applied
to temporal-difference algorithms under weaker information structure
constraints. The variance reduction effect of the proposed algorithms is
demonstrated by formulating and analyzing an asymptotic stochastic differential
equation. Specific guidelines for communication network design are provided.
The algorithms' superior properties are illustrated by characteristic
simulation results.","cs.DC,cs.LG,cs.SY,eess.SY,stat.ML"
"Loss-analysis via Attention-scale for Physiologic Time Series. Physiologic signals have properties across multiple spatial and temporal
scales, which can be shown by the complexity-analysis of the coarse-grained
physiologic signals by scaling techniques such as the multiscale.
Unfortunately, the results obtained from the coarse-grained signals by the
multiscale may not fully reflect the properties of the original signals because
there is a loss caused by scaling techniques and the same scaling technique may
bring different losses to different signals. Another problem is that multiscale
does not consider the key observations inherent in the signal. Here, we show a
new analysis method for time series called the loss-analysis via
attention-scale. We show that multiscale is a special case of attention-scale.
The loss-analysis can complement to the complexity-analysis to capture aspects
of the signals that are not captured using previously developed measures. This
can be used to study ageing, diseases, and other physiologic phenomenon.","cs.LG,eess.SP,physics.data-an"
"Cautious Reinforcement Learning with Logical Constraints. This paper presents the concept of an adaptive safe padding that forces
Reinforcement Learning (RL) to synthesise optimal control policies while
ensuring safety during the learning process. Policies are synthesised to
satisfy a goal, expressed as a temporal logic formula, with maximal
probability. Enforcing the RL agent to stay safe during learning might limit
the exploration, however we show that the proposed architecture is able to
automatically handle the trade-off between efficient progress in exploration
(towards goal satisfaction) and ensuring safety. Theoretical guarantees are
available on the optimality of the synthesised policies and on the convergence
of the learning algorithm. Experimental results are provided to showcase the
performance of the proposed method.","cs.AI,cs.LG,cs.LO,cs.SY,eess.SY,stat.ML"
"E-RNN: Design Optimization for Efficient Recurrent Neural Networks in FPGAs. Recurrent Neural Networks (RNNs) are becoming increasingly important for time
series-related applications which require efficient and real-time
implementations. The two major types are Long Short-Term Memory (LSTM) and
Gated Recurrent Unit (GRU) networks. It is a challenging task to have
real-time, efficient, and accurate hardware RNN implementations because of the
high sensitivity to imprecision accumulation and the requirement of special
activation function implementations.
  A key limitation of the prior works is the lack of a systematic design
optimization framework of RNN model and hardware implementations, especially
when the block size (or compression ratio) should be jointly optimized with RNN
type, layer size, etc. In this paper, we adopt the block-circulant matrix-based
framework, and present the Efficient RNN (E-RNN) framework for FPGA
implementations of the Automatic Speech Recognition (ASR) application. The
overall goal is to improve performance/energy efficiency under accuracy
requirement. We use the alternating direction method of multipliers (ADMM)
technique for more accurate block-circulant training, and present two design
explorations providing guidance on block size and reducing RNN training trials.
Based on the two observations, we decompose E-RNN in two phases: Phase I on
determining RNN model to reduce computation and storage subject to accuracy
requirement, and Phase II on hardware implementations given RNN model,
including processing element design/optimization, quantization, activation
implementation, etc. Experimental results on actual FPGA deployments show that
E-RNN achieves a maximum energy efficiency improvement of 37.4$\times$ compared
with ESE, and more than 2$\times$ compared with C-LSTM, under the same
accuracy.","cs.CV,cs.LG,eess.SP"
"Quick Learner Automated Vehicle Adapting its Roadmanship to Varying Traffic Cultures with Meta Reinforcement Learning. It is essential for an automated vehicle in the field to perform
discretionary lane changes with appropriate roadmanship - driving safely and
efficiently without annoying or endangering other road users - under a wide
range of traffic cultures and driving conditions. While deep reinforcement
learning methods have excelled in recent years and been applied to automated
vehicle driving policy, there are concerns about their capability to quickly
adapt to unseen traffic with new environment dynamics. We formulate this
challenge as a multi-Markov Decision Processes (MDPs) adaptation problem and
developed Meta Reinforcement Learning (MRL) driving policies to showcase their
quick learning capability. Two types of distribution variation in environments
were designed and simulated to validate the fast adaptation capability of
resulting MRL driving policies which significantly outperform a baseline RL.","cs.LG,cs.SY,eess.SY"
"Content-based Analysis of the Cultural Differences between TikTok and Douyin. Short-form video social media shifts away from the traditional media paradigm
by telling the audience a dynamic story to attract their attention. In
particular, different combinations of everyday objects can be employed to
represent a unique scene that is both interesting and understandable. Offered
by the same company, TikTok and Douyin are popular examples of such new media
that has become popular in recent years, while being tailored for different
markets (e.g. the United States and China). The hypothesis that they express
cultural differences together with media fashion and social idiosyncrasy is the
primary target of our research. To that end, we first employ the Faster
Regional Convolutional Neural Network (Faster R-CNN) pre-trained with the
Microsoft Common Objects in COntext (MS-COCO) dataset to perform object
detection. Based on a suite of objects detected from videos, we perform
statistical analysis including label statistics, label similarity, and
label-person distribution. We further use the Two-Stream Inflated 3D ConvNet
(I3D) pre-trained with the Kinetics dataset to categorize and analyze human
actions. By comparing the distributional results of TikTok and Douyin, we
uncover a wealth of similarity and contrast between the two closely related
video social media platforms along the content dimensions of object quantity,
object categories, and human action categories.","cs.CV,cs.MM,cs.SI"
"Learning Multiple Belief Propagation Fixed Points for Real Time Inference. In the context of inference with expectation constraints, we propose an
approach based on the ""loopy belief propagation"" algorithm LBP, as a surrogate
to an exact Markov Random Field MRF modelling. A prior information composed of
correlations among a large set of N variables, is encoded into a graphical
model; this encoding is optimized with respect to an approximate decoding
procedure LBP, which is used to infer hidden variables from an observed subset.
We focus on the situation where the underlying data have many different
statistical components, representing a variety of independent patterns.
Considering a single parameter family of models we show how LBP may be used to
encode and decode efficiently such information, without solving the NP hard
inverse problem yielding the optimal MRF. Contrary to usual practice, we work
in the non-convex Bethe free energy minimization framework, and manage to
associate a belief propagation fixed point to each component of the underlying
probabilistic mixture. The mean field limit is considered and yields an exact
connection with the Hopfield model at finite temperature and steady state, when
the number of mixture components is proportional to the number of variables. In
addition, we provide an enhanced learning procedure, based on a straightforward
multi-parameter extension of the model in conjunction with an effective
continuous optimization procedure. This is performed using the stochastic
search heuristic CMAES and yields a significant improvement with respect to the
single parameter basic model.","cond-mat.dis-nn,cs.LG,physics.data-an"
"Federated Deep Reinforcement Learning. In deep reinforcement learning, building policies of high-quality is
challenging when the feature space of states is small and the training data is
limited. Despite the success of previous transfer learning approaches in deep
reinforcement learning, directly transferring data or models from an agent to
another agent is often not allowed due to the privacy of data and/or models in
many privacy-aware applications. In this paper, we propose a novel deep
reinforcement learning framework to federatively build models of high-quality
for agents with consideration of their privacies, namely Federated deep
Reinforcement Learning (FedRL). To protect the privacy of data and models, we
exploit Gausian differentials on the information shared with each other when
updating their local models. In the experiment, we evaluate our FedRL framework
in two diverse domains, Grid-world and Text2Action domains, by comparing to
various baselines.","cs.AI,cs.LG"
"On the Stability of Random Matrix Product with Markovian Noise: Application to Linear Stochastic Approximation and TD Learning. This paper studies the exponential stability of random matrix products driven
by a general (possibly unbounded) state space Markov chain. It is a cornerstone
in the analysis of stochastic algorithms in machine learning (e.g. for
parameter tracking in online learning or reinforcement learning). The existing
results impose strong conditions such as uniform boundedness of the
matrix-valued functions and uniform ergodicity of the Markov chains. Our main
contribution is an exponential stability result for the $p$-th moment of random
matrix product, provided that (i) the underlying Markov chain satisfies a
super-Lyapunov drift condition, (ii) the growth of the matrix-valued functions
is controlled by an appropriately defined function (related to the drift
condition). Using this result, we give finite-time $p$-th moment bounds for
constant and decreasing stepsize linear stochastic approximation schemes with
Markovian noise on general state space. We illustrate these findings for linear
value-function estimation in reinforcement learning. We provide finite-time
$p$-th moment bound for various members of temporal difference (TD) family of
algorithms.","cs.LG,math.PR,math.ST,stat.ML,stat.TH"
"Multi-scale Attributed Node Embedding. We present network embedding algorithms that capture information about a node
from the local distribution over node attributes around it, as observed over
random walks following an approach similar to Skip-gram. Observations from
neighborhoods of different sizes are either pooled (AE) or encoded distinctly
in a multi-scale approach (MUSAE). Capturing attribute-neighborhood
relationships over multiple scales is useful for a diverse range of
applications, including latent feature identification across disconnected
networks with similar attributes. We prove theoretically that matrices of
node-feature pointwise mutual information are implicitly factorized by the
embeddings. Experiments show that our algorithms are robust, computationally
efficient and outperform comparable models on social networks and web graphs.","cs.LG,cs.NI,cs.SI,stat.ML"
"Towards Expressive Graph Representation. Graph Neural Network (GNN) aggregates the neighborhood of each node into the
node embedding and shows its powerful capability for graph representation
learning. However, most existing GNN variants aggregate the neighborhood
information in a fixed non-injective fashion, which may map different graphs or
nodes to the same embedding, reducing the model expressiveness. We present a
theoretical framework to design a continuous injective set function for
neighborhood aggregation in GNN. Using the framework, we propose expressive GNN
that aggregates the neighborhood of each node with a continuous injective set
function, so that a GNN layer maps similar nodes with similar neighborhoods to
similar embeddings, different nodes to different embeddings and the equivalent
nodes or isomorphic graphs to the same embeddings. Moreover, the proposed
expressive GNN can naturally learn expressive representations for graphs with
continuous node attributes. We validate the proposed expressive GNN (ExpGNN)
for graph classification on multiple benchmark datasets including simple graphs
and attributed graphs. The experimental results demonstrate that our model
achieves state-of-the-art performances on most of the benchmarks.","cs.AI,cs.IT,cs.LG,math.IT"
"Attention Aware Cost Volume Pyramid Based Multi-view Stereo Network for 3D Reconstruction. We present an efficient multi-view stereo (MVS) network for 3D reconstruction
from multiview images. While previous learning based reconstruction approaches
performed quite well, most of them estimate depth maps at a fixed resolution
using plane sweep volumes with a fixed depth hypothesis at each plane, which
requires densely sampled planes for desired accuracy and therefore is difficult
to achieve high resolution depth maps. In this paper we introduce a
coarseto-fine depth inference strategy to achieve high resolution depth. This
strategy estimates the depth map at coarsest level, while the depth maps at
finer levels are considered as the upsampled depth map from previous level with
pixel-wise depth residual. Thus, we narrow the depth searching range with
priori information from previous level and construct new cost volumes from the
pixel-wise depth residual to perform depth map refinement. Then the final depth
map could be achieved iteratively since all the parameters are shared between
different levels. At each level, the self-attention layer is introduced to the
feature extraction block for capturing the long range dependencies for depth
inference task, and the cost volume is generated using similarity measurement
instead of the variance based methods used in previous work. Experiments were
conducted on both the DTU benchmark dataset and recently released BlendedMVS
dataset. The results demonstrated that our model could outperform most
state-of-the-arts (SOTA) methods. The codebase of this project is at
https://github.com/ArthasMil/AACVP-MVSNet.","cs.CV,cs.LG,eess.IV"
"On the emergence of simplex symmetry in the final and penultimate layers of neural network classifiers. A recent numerical study observed that neural network classifiers enjoy a
large degree of symmetry in the penultimate layer. Namely, if $h(x) = Af(x) +b$
where $A$ is a linear map and $f$ is the output of the penultimate layer of the
network (after activation), then all data points $x_{i, 1}, \dots, x_{i, N_i}$
in a class $C_i$ are mapped to a single point $y_i$ by $f$ and the points $y_i$
are located at the vertices of a regular $k-1$-dimensional standard simplex in
a high-dimensional Euclidean space.
  We explain this observation analytically in toy models for highly expressive
deep neural networks. In complementary examples, we demonstrate rigorously that
even the final output of the classifier $h$ is not uniform over data samples
from a class $C_i$ if $h$ is a shallow network (or if the deeper layers do not
bring the data samples into a convenient geometric configuration).","62H30,68T07,cs.LG,stat.ML"
"Learning Set Functions that are Sparse in Non-Orthogonal Fourier Bases. Many applications of machine learning on discrete domains, such as learning
preference functions in recommender systems or auctions, can be reduced to
estimating a set function that is sparse in the Fourier domain. In this work,
we present a new family of algorithms for learning Fourier-sparse set
functions. They require at most $nk - k \log_2 k + k$ queries (set function
evaluations), under mild conditions on the Fourier coefficients, where $n$ is
the size of the ground set and $k$ the number of non-zero Fourier coefficients.
In contrast to other work that focused on the orthogonal Walsh-Hadamard
transform, our novel algorithms operate with recently introduced non-orthogonal
Fourier transforms that offer different notions of Fourier-sparsity. These
naturally arise when modeling, e.g., sets of items forming substitutes and
complements. We demonstrate effectiveness on several real-world applications.","cs.AI,cs.DM,cs.LG,eess.SP,stat.ML"
"Transfer Learning Using Ensemble Neural Networks for Organic Solar Cell Screening. Organic Solar Cells are a promising technology for solving the clean energy
crisis in the world. However, generating candidate chemical compounds for solar
cells is a time-consuming process requiring thousands of hours of laboratory
analysis. For a solar cell, the most important property is the power conversion
efficiency which is dependent on the highest occupied molecular orbitals (HOMO)
values of the donor molecules. Recently, machine learning techniques have
proved to be very useful in building predictive models for HOMO values of donor
structures of Organic Photovoltaic Cells (OPVs). Since experimental datasets
are limited in size, current machine learning models are trained on data
derived from calculations based on density functional theory (DFT). Molecular
line notations such as SMILES or InChI are popular input representations for
describing the molecular structure of donor molecules. The two types of line
representations encode different information, such as SMILES defines the bond
types while InChi defines protonation. In this work, we present an ensemble
deep neural network architecture, called SINet, which harnesses both the SMILES
and InChI molecular representations to predict HOMO values and leverage the
potential of transfer learning from a sizeable DFT-computed dataset- Harvard
CEP to build more robust predictive models for relatively smaller HOPV
datasets. Harvard CEP dataset contains molecular structures and properties for
2.3 million candidate donor structures for OPV while HOPV contains DFT-computed
and experimental values of 350 and 243 molecules respectively. Our results
demonstrate significant performance improvement from the use of transfer
learning and leveraging both molecular representations.","cs.LG,physics.chem-ph,stat.ML"
"Plugin procedure in segmentation and application to hyperspectral image segmentation. In this article we give our contribution to the problem of segmentation with
plug-in procedures. We give general sufficient conditions under which plug in
procedure are efficient. We also give an algorithm that satisfy these
conditions. We give an application of the used algorithm to hyperspectral
images segmentation. Hyperspectral images are images that have both spatial and
spectral coherence with thousands of spectral bands on each pixel. In the
proposed procedure we combine a reduction dimension technique and a spatial
regularisation technique. This regularisation is based on the mixlet
modelisation of Kolaczyck and Al.","math.ST,stat.ML,stat.TH"
